                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.6703,                0.30929,                0.77519,                0.92524,                0.75653,                0.83672,                0.59791,                0.74631,                0.35536,                0.78435,               0.000161,               0.000161,               0.000161
                     90,                0.67312,                0.30964,                0.77648,                0.97306,                0.73442,                0.82399,                0.58789,                0.75171,                0.35724,                  0.785,             0.00014862,             0.00014862,             0.00014862
                     91,                0.62362,                0.29903,                0.77698,                0.92208,                0.74575,                0.82367,                 0.5684,                0.76175,                0.36831,                0.78561,             0.00013625,             0.00013625,             0.00013625
                     92,                0.62151,                0.30401,                0.77725,                0.89443,                0.73668,                 0.8078,                0.57117,                0.75927,                0.37243,                0.78614,             0.00012387,             0.00012387,             0.00012387
                     93,                0.60808,                0.29547,                0.77145,                0.88186,                0.74491,                 0.8133,                0.57128,                0.75511,                0.36816,                0.78674,              0.0001115,              0.0001115,              0.0001115
                     94,                0.59603,                0.29125,                0.77386,                 0.8869,                0.75159,                  0.832,                0.58058,                0.74515,                0.36264,                0.78526,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.58734,                0.28694,                0.77424,                0.87337,                0.75822,                0.82673,                0.58182,                0.74284,                 0.3668,                0.78463,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.57592,                 0.2837,                0.77339,                0.86516,                0.74831,                0.82192,                0.58396,                0.73424,                0.36235,                  0.784,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.57875,                0.28423,                0.77401,                0.86381,                0.74314,                0.81947,                0.58529,                 0.7448,                0.35925,                0.78483,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.57249,                0.28129,                0.77187,                0.96109,                0.73992,                0.82481,                0.58319,                0.73892,                0.35515,                0.78483,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.58951,                0.28511,                0.77519,                0.87058,                0.75943,                0.82833,                0.59162,                0.73241,                0.35443,                0.78461,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.57862,                0.28026,                0.77426,                0.86172,                0.75346,                0.82731,                0.58823,                0.73119,                0.35028,                0.78479,             2.4875e-05,             2.4875e-05,             2.4875e-05
